k,tau,lambda,gamma,training_rmse,testing_rmse,gap
2,0.04,0.02,0.2,0.7447,0.9380,0.1933
2,0.04,0.04,0.2,0.7150,0.9348,0.2198
2,0.04,0.06,0.2,0.7092,0.9604,0.2512
2,0.04,0.08,0.2,0.6979,0.9410,0.2432
2,0.01,0.02,0.30000000000000004,0.7437,0.9720,0.2283
2,0.01,0.04,0.30000000000000004,0.7175,0.9606,0.2431
2,0.01,0.06,0.30000000000000004,0.7040,0.9445,0.2405
2,0.01,0.08,0.30000000000000004,0.7031,0.9785,0.2754
2,0.02,0.02,0.30000000000000004,0.7813,1.0231,0.2418
2,0.02,0.04,0.30000000000000004,0.7267,0.9458,0.2191
2,0.02,0.06,0.30000000000000004,0.7178,0.9817,0.2639
2,0.02,0.08,0.30000000000000004,0.7043,0.9616,0.2574
2,0.03,0.02,0.30000000000000004,0.7490,0.9572,0.2082
2,0.03,0.04,0.30000000000000004,0.7302,0.9358,0.2055
2,0.03,0.06,0.30000000000000004,0.7142,0.9468,0.2326
2,0.03,0.08,0.30000000000000004,0.7080,0.9791,0.2711
2,0.04,0.02,0.30000000000000004,0.7370,0.9411,0.2041
2,0.04,0.04,0.30000000000000004,0.7249,0.9235,0.1986
2,0.04,0.06,0.30000000000000004,0.7227,0.9572,0.2346
2,0.04,0.08,0.30000000000000004,0.7148,0.9644,0.2497
2,0.01,0.02,0.4,0.7201,0.9587,0.2385
2,0.01,0.04,0.4,0.7252,0.9735,0.2483
2,0.01,0.06,0.4,0.7171,0.9775,0.2604
2,0.01,0.08,0.4,0.7186,0.9735,0.2549
2,0.02,0.02,0.4,0.7278,0.9534,0.2256
2,0.02,0.04,0.4,0.7478,0.9782,0.2303
2,0.02,0.06,0.4,0.7129,0.9452,0.2323
2,0.02,0.08,0.4,0.7171,0.9935,0.2764
2,0.03,0.02,0.4,0.7360,0.9396,0.2036
2,0.03,0.04,0.4,0.7337,0.9560,0.2223
2,0.03,0.06,0.4,0.7349,0.9782,0.2433
2,0.03,0.08,0.4,0.7084,0.9311,0.2227
2,0.04,0.02,0.4,0.7412,0.9455,0.2043
2,0.04,0.04,0.4,0.7197,0.9273,0.2076
2,0.04,0.06,0.4,0.7385,0.9657,0.2272
2,0.04,0.08,0.4,0.7152,0.9416,0.2265
3,0.01,0.02,0.1,0.6789,0.9711,0.2923
3,0.01,0.04,0.1,0.6562,0.9726,0.3164
3,0.01,0.06,0.1,0.6561,1.0204,0.3644
3,0.01,0.08,0.1,0.6555,1.0456,0.3901
3,0.02,0.02,0.1,0.6931,0.9918,0.2987
3,0.02,0.04,0.1,0.6689,0.9839,0.3150
3,0.02,0.06,0.1,0.6508,0.9781,0.3274
3,0.02,0.08,0.1,0.6587,1.0144,0.3557
3,0.03,0.02,0.1,0.6822,0.9374,0.2552
3,0.03,0.04,0.1,0.6577,0.9699,0.3122
3,0.03,0.06,0.1,0.6542,1.0023,0.3481
3,0.03,0.08,0.1,0.6538,0.9786,0.3248
3,0.04,0.02,0.1,0.6915,0.9473,0.2558
3,0.04,0.04,0.1,0.6651,0.9450,0.2800
3,0.04,0.06,0.1,0.6631,0.9887,0.3256
3,0.04,0.08,0.1,0.6517,0.9905,0.3388
3,0.01,0.02,0.2,0.6812,0.9784,0.2973
3,0.01,0.04,0.2,0.6696,1.0215,0.3518
3,0.01,0.06,0.2,0.6642,1.0094,0.3453
3,0.01,0.08,0.2,0.6631,1.0318,0.3688
3,0.02,0.02,0.2,0.6886,0.9538,0.2653
3,0.02,0.04,0.2,0.6717,0.9639,0.2922
3,0.02,0.06,0.2,0.6678,0.9895,0.3217
3,0.02,0.08,0.2,0.6615,0.9997,0.3382
3,0.03,0.02,0.2,0.6907,0.9473,0.2566
3,0.03,0.04,0.2,0.6704,0.9542,0.2838
3,0.03,0.06,0.2,0.6717,0.9767,0.3049
3,0.03,0.08,0.2,0.6695,1.0258,0.3563
3,0.04,0.02,0.2,0.7026,0.9445,0.2418
3,0.04,0.04,0.2,0.6857,0.9696,0.2839
3,0.04,0.06,0.2,0.6724,0.9971,0.3247
3,0.04,0.08,0.2,0.6668,1.0142,0.3474
3,0.01,0.02,0.30000000000000004,0.6797,0.9825,0.3028
3,0.01,0.04,0.30000000000000004,0.6758,0.9896,0.3138
3,0.01,0.06,0.30000000000000004,0.6742,1.0312,0.3570
3,0.01,0.08,0.30000000000000004,0.6653,1.0063,0.3410
3,0.02,0.02,0.30000000000000004,0.6875,0.9751,0.2876
3,0.02,0.04,0.30000000000000004,0.6771,0.9856,0.3085
3,0.02,0.06,0.30000000000000004,0.6804,1.0278,0.3474
3,0.02,0.08,0.30000000000000004,0.6710,0.9922,0.3212
3,0.03,0.02,0.30000000000000004,0.6922,0.9602,0.2680
3,0.03,0.04,0.30000000000000004,0.6783,0.9605,0.2822
3,0.03,0.06,0.30000000000000004,0.6763,0.9896,0.3133
3,0.03,0.08,0.30000000000000004,0.6738,1.0312,0.3574
3,0.04,0.02,0.30000000000000004,0.7005,0.9594,0.2589
3,0.04,0.04,0.30000000000000004,0.6901,0.9944,0.3043
